race,team,athlete,birthday
10,BEL,"MAEYENS Tim",1981-08-23
100,USA,"MONAGHAN Ryan",1984-06-07
100,USA,"Mc EACHERN Deaglan",1983-08-05
1000,EST,"RAJA Allar",1983-06-22
1000,EST,"TAIMSOO Kaspar",1987-04-30
1001,FRA,"BAHAIN Julien",1986-04-20
1001,FRA,"BERREST Cedric",1985-04-02
1002,NZL,"COHEN Nathan",1986-01-02
1002,NZL,"SULLIVAN Joseph",1987-04-11
1003,SLO,"COP Iztok",1972-06-17
1003,SLO,"SPIK Luka",1979-02-09
1004,NOR,"BORCH Kjetil",1990-02-14
1004,NOR,"HOFF Nils Jakob",1985-02-05
1005,LTU,"MASCINSKAS Rolandas",1992-08-06
1005,LTU,"RITTER Saulius",1988-08-23
1006,RUS,"KHMYLNIN Dmitry",1988-03-25
1006,RUS,"KOSOV Artem",1986-08-04
1007,HUN,"ELEKES Szilveszter",1991-08-05
1007,HUN,"HERMANN Robert",NA
1008,LAT,"ADAMAITIS Dairis",1989-03-04
1008,LAT,"SIRE Lauris",1989-07-11
1009,UKR,"DOVGODKO Ivan",1989-01-15
1009,UKR,"FUTRYK Ivan",1989-12-05
101,ARG,"CLAUS Sebastian",1983-02-26
101,ARG,"SILVESTRO Nicolas",1990-12-28
1010,SRB,"BOGICEVIC Dusan",1990-04-28
1010,SRB,"MARJANOVIC Marko",1985-11-24
1011,USA,"GRAVES Peter",1984-10-25
1011,USA,"GRAVES Thomas",1982-06-22
1012,CHN,"KANG Wei",1988-11-18
1012,CHN,"YANG Zengxin",1990-01-11
1013,ITA,"MONTRONE Domenico",1986-05-01
1013,ITA,"RAINERI Simone",1977-02-07
1014,POL,"CHABEL Wiktor",1985-11-23
1014,POL,"SLOMA Michal",1982-01-31
1015,KOR,"KIM Dongyong",1990-12-12
1015,KOR,"KIM Hwigwan",1990-09-08
1016,USA,"GRAVES Peter",1984-10-25
1016,USA,"GRAVES Thomas",1982-06-22
1017,LAT,"ADAMAITIS Dairis",1989-03-04
1017,LAT,"SIRE Lauris",1989-07-11
1018,NOR,"BORCH Kjetil",1990-02-14
1018,NOR,"HOFF Nils Jakob",1985-02-05
1019,CZE,"JIRKA David",1982-01-04
1019,CZE,"VITASEK Petr",1981-08-05
102,CHN,"WANG Xiangdang",1983-04-05
102,CHN,"XUE Feng",1989-07-12
1020,ITA,"MONTRONE Domenico",1986-05-01
1020,ITA,"RAINERI Simone",1977-02-07
1021,EST,"RAJA Allar",1983-06-22
1021,EST,"TAIMSOO Kaspar",1987-04-30
1022,ARG,"ROSSO Cristian",1984-01-29
1022,ARG,"SUAREZ Ariel",1980-02-24
1023,HUN,"ELEKES Szilveszter",1991-08-05
1023,HUN,"HERMANN Robert",NA
1024,RUS,"KHMYLNIN Dmitry",1988-03-25
1024,RUS,"KOSOV Artem",1986-08-04
1025,POL,"CHABEL Wiktor",1985-11-23
1025,POL,"SLOMA Michal",1982-01-31
1026,FRA,"BAHAIN Julien",1986-04-20
