id,year,date,descr,class,number,round,gender,weight,junior,adaptive,coxed,final,time_500m,time_1000m,time_1500m,time_2000m
2,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,146,FA,men,open,senior,FALSE,coxless,final,100.67,206.17,316.87,429.44
3,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,146,FA,men,open,senior,FALSE,coxless,final,102.61,208.87,313.44,415.68
4,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,146,FA,men,open,senior,FALSE,coxless,final,99.81,204.49,309.35,409.83
5,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,146,FA,men,open,senior,FALSE,coxless,final,101.24,204.72,308.2,409.41
6,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,146,FA,men,open,senior,FALSE,coxless,final,100.33,203.89,307.11,407.48
7,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,146,FA,men,open,senior,FALSE,coxless,final,101.57,207.28,313.72,417.58
8,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,137,FB,men,open,senior,FALSE,coxless,final,101.94,206.33,315.71,432.47
9,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,137,FB,men,open,senior,FALSE,coxless,final,101.99,206.53,314.74,426.65
10,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,137,FB,men,open,senior,FALSE,coxless,final,101.76,205.76,315.88,436.56
11,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,137,FB,men,open,senior,FALSE,coxless,final,103.82,206.93,313.46,421.94
12,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,137,FB,men,open,senior,FALSE,coxless,final,105.27,212.32,323.69,438.85
13,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,137,FB,men,open,senior,FALSE,coxless,final,102.66,206.79,314.48,424.03
14,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,133,FC,men,open,senior,FALSE,coxless,final,103.89,211.79,320.7,427.58
15,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,133,FC,men,open,senior,FALSE,coxless,final,108.28,213.78,318.71,423.96
16,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,133,FC,men,open,senior,FALSE,coxless,final,106.16,215.67,323.74,425.45
17,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,133,FC,men,open,senior,FALSE,coxless,final,106.75,220.3,323.84,429.92
18,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,133,FC,men,open,senior,FALSE,coxless,final,110.16,220.43,329.16,442.19
19,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,133,FC,men,open,senior,FALSE,coxless,final,113.36,226.75,338.04,453.62
20,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,129,FD,men,open,senior,FALSE,coxless,final,105.52,216.59,325.94,433.83
21,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,129,FD,men,open,senior,FALSE,coxless,final,104.96,217.55,328.11,434.71
22,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,129,FD,men,open,senior,FALSE,coxless,final,106.3,222.62,331.48,441.07
23,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,129,FD,men,open,senior,FALSE,coxless,final,106.4,218.33,329.62,444.78
24,2010,2010-11-06,"WCH Karapiro, New Zealand",M1x,129,FD,men,open,senior,FALSE,coxless,final,109.72,228.20,345.11,460.22
25,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,98,"SA/B 1",men,open,senior,FALSE,coxless,heat,105.56,219.23,332.52,446.15
26,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,98,"SA/B 1",men,open,senior,FALSE,coxless,heat,105.49,219.07,335.39,451.86
27,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,98,"SA/B 1",men,open,senior,FALSE,coxless,heat,104.43,212.94,320.51,435.08
28,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,98,"SA/B 1",men,open,senior,FALSE,coxless,heat,103.31,211.73,319.44,432.74
29,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,98,"SA/B 1",men,open,senior,FALSE,coxless,heat,105.52,216.76,326.40,446.06
30,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,98,"SA/B 1",men,open,senior,FALSE,coxless,heat,104.4,215.22,325.33,439.35
31,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,99,"SA/B 2",men,open,senior,FALSE,coxless,heat,108.39,219.63,333.78,443.36
32,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,99,"SA/B 2",men,open,senior,FALSE,coxless,heat,106.93,217.79,332.71,443.57
33,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,99,"SA/B 2",men,open,senior,FALSE,coxless,heat,102.35,209.69,318.17,430.07
34,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,99,"SA/B 2",men,open,senior,FALSE,coxless,heat,106.76,214.35,324.71,432.32
35,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,99,"SA/B 2",men,open,senior,FALSE,coxless,heat,104.1,211.13,322.84,432.83
36,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,99,"SA/B 2",men,open,senior,FALSE,coxless,heat,104.72,212.35,325.51,438.71
37,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,90,"SC/D 1",men,open,senior,FALSE,coxless,heat,109.19,224.1,344.85,468.32
38,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,90,"SC/D 1",men,open,senior,FALSE,coxless,heat,108.44,220.56,336.63,452.42
39,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,90,"SC/D 1",men,open,senior,FALSE,coxless,heat,108.06,222.79,340.15,457.28
40,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,90,"SC/D 1",men,open,senior,FALSE,coxless,heat,109.38,221.42,337.96,455.36
41,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,90,"SC/D 1",men,open,senior,FALSE,coxless,heat,107.25,219.02,334.90,453.25
42,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,91,"SC/D 2",men,open,senior,FALSE,coxless,heat,113.3,230.76,352.4,474.06
43,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,91,"SC/D 2",men,open,senior,FALSE,coxless,heat,113.04,226.60,342.55,459.42
44,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,91,"SC/D 2",men,open,senior,FALSE,coxless,heat,112.82,223.99,338.77,456.56
45,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,91,"SC/D 2",men,open,senior,FALSE,coxless,heat,110.91,223.58,337.33,455.7
46,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,91,"SC/D 2",men,open,senior,FALSE,coxless,heat,111.32,224.79,341.53,457.48
47,2010,2010-11-04,"WCH Karapiro, New Zealand",M1x,91,"SC/D 2",men,open,senior,FALSE,coxless,heat,118.66,240.89,365.85,491.51
48,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,57,R1,men,open,senior,FALSE,coxless,heat,100.78,206.64,313.47,420.28
49,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,57,R1,men,open,senior,FALSE,coxless,heat,100.2,205.52,311.44,418.36
50,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,57,R1,men,open,senior,FALSE,coxless,heat,98.42,201.87,308.41,416.19
51,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,57,R1,men,open,senior,FALSE,coxless,heat,101.17,208.78,320.01,434.34
52,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,58,R2,men,open,senior,FALSE,coxless,heat,99.56,204.54,316.7,437.13
53,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,58,R2,men,open,senior,FALSE,coxless,heat,97.58,200.56,306.91,416.40
54,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,58,R2,men,open,senior,FALSE,coxless,heat,99.91,203.42,309.46,417.36
55,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,58,R2,men,open,senior,FALSE,coxless,heat,99.64,205.47,313.74,423.91
56,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,58,R2,men,open,senior,FALSE,coxless,heat,105.23,217.93,334.14,451.33
57,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,59,R3,men,open,senior,FALSE,coxless,heat,101.73,208.29,317.67,427.21
58,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,59,R3,men,open,senior,FALSE,coxless,heat,98.35,200.8,305.25,411.96
59,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,59,R3,men,open,senior,FALSE,coxless,heat,97.93,200.32,305.37,419.34
60,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,59,R3,men,open,senior,FALSE,coxless,heat,100.36,205.9,314.78,425.09
61,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,59,R3,men,open,senior,FALSE,coxless,heat,101.72,207.44,316.52,424.21
62,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,60,R4,men,open,senior,FALSE,coxless,heat,103.78,211.52,320.37,434.55
63,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,60,R4,men,open,senior,FALSE,coxless,heat,99.8,202.01,307.33,414.21
64,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,60,R4,men,open,senior,FALSE,coxless,heat,97.8,199.20,300.6,409.82
65,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,60,R4,men,open,senior,FALSE,coxless,heat,101.7,204.94,308.86,426.32
66,2010,2010-11-02,"WCH Karapiro, New Zealand",M1x,60,R4,men,open,senior,FALSE,coxless,heat,101.01,204.23,305.90,412.55
67,2010,2010-11-01,"WCH Karapiro, New Zealand",M1x,24,H1,men,open,senior,FALSE,coxless,heat,96.24,203.57,314.78,425.41
